state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,21448,"Dozier town, Alabama",0.5161,0.1994,0.5074,21500,321
01,35200,"Hodges town, Alabama",0.7315,0.1741,0.0220,43125,270
01,44800,"Lynn town, Alabama",0.7226,0.2378,0.1133,32031,635
01,59328,"Petrey town, Alabama",0.9259,0.3030,0.1653,56146,66
01,13648,"Centre city, Alabama",0.5345,0.3237,0.2458,36263,3525
01,51600,"Moulton city, Alabama",0.5209,0.2883,0.3081,32775,3285
01,65592,"Rock Mills CDP, Alabama",0.8986,0.2860,0.0000,30083,493
01,71190,"Smiths Station city, Alabama",0.7108,0.2041,0.3330,51235,5364
01,28672,"Fyffe town, Alabama",0.6445,0.1197,0.1618,45962,1203
01,37312,"Ider town, Alabama",0.6722,0.2258,0.1207,37019,682
01,60372,"Pine Ridge town, Alabama",0.7794,0.0779,0.4858,43750,475
01,67920,"Sand Rock town, Alabama",0.8211,0.1943,0.0680,53571,458
01,78240,"Valley Head town, Alabama",0.6984,0.1874,0.1803,35625,699
01,80064,"Waterloo town, Alabama",0.8824,0.3214,0.0695,42500,140
01,24688,"Eva town, Alabama",0.8462,0.1376,0.0218,76458,545
01,25648,"Falkville town, Alabama",0.7117,0.2849,0.1381,42813,1348
01,62472,"Priceville town, Alabama",0.9801,0.1787,0.1809,91797,3475
01,14464,"Childersburg city, Alabama",0.4874,0.1665,0.5567,31163,4908
01,03028,"Attalla city, Alabama",0.7341,0.1888,0.4175,39247,5836
01,03364,"Avon town, Alabama",0.7700,0.1520,0.2687,56667,592
01,81084,"West End-Cobb Town CDP, Alabama",0.6995,0.1839,0.4071,30083,3274
01,40096,"Kinston town, Alabama",0.6522,0.1404,0.1542,35952,741
01,64152,"Rehobeth town, Alabama",0.8134,0.0928,0.2719,55486,2059
01,52848,"Munford town, Alabama",0.6940,0.1319,0.4057,31905,1410
01,41368,"Langston town, Alabama",0.8909,0.4313,0.1933,46136,211
01,33808,"Hazel Green CDP, Alabama",0.8371,0.1805,0.1880,43269,3901
01,45784,"Madison city, Alabama",0.7088,0.1142,0.4739,99188,49327
01,23176,"Edwardsville town, Alabama",0.6406,0.1133,0.0000,44063,203
01,40928,"Lake View town, Alabama",0.9614,0.1117,0.3515,82455,2452
01,53448,"Nectar town, Alabama",0.8537,0.1649,0.0158,45750,376
01,71280,"Snead town, Alabama",0.7251,0.2273,0.0719,53636,893
01,78264,"Vance town, Alabama",0.8505,0.1080,0.2350,72031,1519
