measure_class,dor_code,municipality,fiscal_year,vote_date,description,department,amount,result,votes_yes,votes_no
debt_exclusion,332,Westminster,2000,1985-08-01,Sewers,Public Works and Facilities,,Pass,236,110
debt_exclusion,055,Chatham,2001,1985-10-01,Land Puchase/Goodwin Prop,General Government,,Pass,942,197
debt_exclusion,333,Weston,2000,1985-10-01,Land,General Government,,Pass,1119,375
debt_exclusion,020,Barnstable,2001,1985-12-01,Land,General Government,,Pass,4138,696
debt_exclusion,172,Mashpee,1991,1985-12-01,Land,General Government,,Pass,665,99
debt_exclusion,296,Tisbury,1990,1985-12-01,Multi P,General Operating,,Pass,372,178
debt_exclusion,327,West Tisbury,1990,1986-01-01,Special Act Chapter 303 Of 1985,General Government,,Pass,1,0
debt_exclusion,002,Acton,1990,1986-02-01,Regional School/Jr And High,School,,Pass,912,666
debt_exclusion,117,Hadley,1990,1986-03-01,Fire,Public Safety,,Pass,1126,496
debt_exclusion,251,Rockland,2000,1986-03-01,Library,Culture and Recreation,,Pass,1465,1152
debt_exclusion,104,Aquinnah,1998,1986-04-01,Th/Ramp,General Government,,Pass,51,16
debt_exclusion,051,Carlisle,1991,1986-04-01,Construct/Remodel/Equip Sch.Bldgs.,School,,Pass,639,440
debt_exclusion,051,Carlisle,2000,1986-04-01,Design/Plans For School Buildings,School,,Pass,738,350
debt_exclusion,081,Dunstable,2000,1986-04-01,Constr/Equip/Remodeling Three Schools,School,,Pass,137,129
debt_exclusion,089,Edgartown,1990,1986-04-01,Purchase Mindoro Farm Property,General Government,,Pass,645,151
debt_exclusion,089,Edgartown,1990,1986-04-01,Purchase Waller Farm Property,General Government,,Pass,606,187
debt_exclusion,096,Falmouth,1990,1986-04-01,Water,Public Works and Facilities,,Pass,3013,2180
debt_exclusion,096,Falmouth,1990,1986-04-01,Land,General Government,,Pass,4966,1765
debt_exclusion,096,Falmouth,1992,1986-04-01,Water,Public Works and Facilities,,Pass,5457,1285
debt_exclusion,125,Harvard,2000,1986-04-01,Land,General Government,,Pass,680,237
debt_exclusion,197,Nantucket,1990,1986-04-01,Highway,Public Works and Facilities,,Pass,1458,668
debt_exclusion,197,Nantucket,2000,1986-04-01,Sewers,Public Works and Facilities,,Pass,1584,535
debt_exclusion,197,Nantucket,2000,1986-04-01,Schools,School,,Pass,1494,680
debt_exclusion,252,Rockport,2000,1986-04-01,Water,Public Works and Facilities,,Pass,1160,488
debt_exclusion,252,Rockport,2000,1986-04-01,Water,Public Works and Facilities,,Pass,1092,571
debt_exclusion,290,Sutton,2000,1986-04-01,School,School,,Pass,880,496
debt_exclusion,331,Westhampton,1990,1986-04-01,Highway,Public Works and Facilities,,Pass,140,131
debt_exclusion,331,Westhampton,1990,1986-04-01,Fire,Public Safety,,Pass,152,119
debt_exclusion,342,Wilmington,1990,1986-04-01,Schools,School,,Pass,526,409
