"governmentname","governmenttype","county","electiondate","amount","purpose","purposedescription","propnumber","votesfor","votesagainst","result","source"
"Cypress Hill MUD 1","WD","Harris","1985-08-14T00:00:00.000","6230000","Programs","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"North Richland Hills","CITY","Tarrant","1985-09-10T00:00:00.000","16870000","Other","Drainage","1","1","0","Carried","TBR"
"Fort Bend County LID 007","WD","Fort Bend","1985-11-05T00:00:00.000","32955000","Renovations","Levee","1","1","0","Carried","TBR"
"Northeast Round Rock Road District 1","OSD","Williamson","1985-11-05T00:00:00.000","12000000","Programs","Road","1","1","0","Carried","TBR"
"Rockwall","CITY","Rockwall","1985-12-07T00:00:00.000","1500000","Other","Street","1","1","0","Carried","TBR"
"Northgate Crossing MUD 2","WD","Harris","1986-01-18T00:00:00.000","17200000","Other","Water & Sewer","1","1","0","Carried","TBR"
"White Settlement","CITY","Tarrant","1986-03-15T00:00:00.000","4900000","Other","Street","1.1","1","0","Carried","TBR"
"White Settlement","CITY","Tarrant","1986-03-15T00:00:00.000","1300000","Other","Flood Control","1.2","1","0","Carried","TBR"
"Fort Worth","CITY","Tarrant","1986-03-22T00:00:00.000","16650000","Programs","Park","1.2","1","0","Carried","TBR"
"Fort Worth","CITY","Tarrant","1986-03-22T00:00:00.000","5750000","Programs","Public Safety","1.1","1","0","Carried","TBR"
"Meadowcreek MUD","WD","Fort Bend","1986-04-01T00:00:00.000","2000000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Southeast Williamson County Road District 1","OSD","Williamson","1986-04-05T00:00:00.000","13000000","Other","Road","1","1","0","Carried","TBR"
"West Harris County MUD 14","WD","Harris","1986-04-05T00:00:00.000","11750000","Other","Wastewater and Sewer System","1","1","0","Carried","TBR"
"Rowlett","CITY","Dallas","1986-04-05T00:00:00.000","16675000","Other","Street","1","1","0","Carried","TBR"
"Murphy","CITY","Collin","1986-04-05T00:00:00.000","1780000","Renovations","Sewer Imprs","3","1","0","Carried","TBR"
"Murphy","CITY","Collin","1986-04-05T00:00:00.000","450000","Renovations","Sewer","2","1","0","Carried","TBR"
"Thunderbird UD","WD","Fort Bend","1986-04-05T00:00:00.000","1245000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Fort Bend County MUD 050","WD","Fort Bend","1986-04-05T00:00:00.000","25300000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Murphy","CITY","Collin","1986-04-05T00:00:00.000","360000","Other","Water","1","1","0","Carried","TBR"
"Bilma PUD","WD","Harris","1986-04-15T00:00:00.000","30000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Cimarron MUD","WD","Harris","1986-07-11T00:00:00.000","40670000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Southwest Travis County Road District 1","OSD","Travis","1986-08-09T00:00:00.000","7000000","Other","Street","1","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1986-11-15T00:00:00.000","24965000","Other","Street","1","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1986-11-15T00:00:00.000","5300000","Other","Park","2","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1986-11-15T00:00:00.000","8000000","Other","Traffic Signal Imprs","3","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1986-11-15T00:00:00.000","1380000","Other","Library","4","1","0","Carried","TBR"
"Cedar Park","CITY","Williamson","1986-12-13T00:00:00.000","35000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Sulphur Springs","CITY","Hopkins","1987-03-07T00:00:00.000","4230000","Other","Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 10","WD","Harris","1987-03-14T00:00:00.000","16500000","Refund","Refunding","1","1","0","Carried","TBR"
"Amarillo ISD","ISD","Potter-Randall","1987-03-24T00:00:00.000","57029600","Building","School Building","1","1","0","Carried","TBR"
"Tarrant County","COUNTY","Tarrant","1987-04-04T00:00:00.000","47000000","Renovations","Courthouse Improvements","1","1","0","Carried","TBR"
"Harris County FWSD 61","WD","Harris","1987-04-04T00:00:00.000","16470000","Other","Water & Sewer","1.2","1","0","Carried","TBR"
"Harris County FWSD 61","WD","Harris","1987-04-04T00:00:00.000","36000000","Refund","Refunding","1.1","1","0","Carried","TBR"
"CNP UD","WD","Harris","1987-04-18T00:00:00.000","32000000","Refund","Refunding","1","1","0","Carried","TBR"
"Timber Lane UD","WD","Harris","1987-04-25T00:00:00.000","35000000","Refund","Refunding","1","1","0","Carried","TBR"
"East Texas MUD of Smith County","WD","Smith","1987-04-25T00:00:00.000","750000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Clear Lake City WA","WD","Harris","1987-04-25T00:00:00.000","9860000","Other","Water & Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 01","WD","Harris","1987-05-09T00:00:00.000","15000000","Refund","Refunding","1","1","0","Carried","TBR"
"Northgate Crossing MUD 2","WD","Harris","1987-08-08T00:00:00.000","14800000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Irving","CITY","Dallas","1987-08-29T00:00:00.000","13000000","Other","Landfill","1","1","0","Carried","TBR"
"Crowley","CITY","Tarrant","1987-09-26T00:00:00.000","2000000","Other","Street","1","1","0","Carried","TBR"
"Brazoria County MUD 4","WD","Brazoria","1987-09-26T00:00:00.000","18785000","Other","Water, Sewer System & Drainage","1","1","0","Carried","TBR"
"Brazoria County MUD 5","WD","Brazoria","1987-11-01T00:00:00.000","17670000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Harris County FCD","WD","Harris","1987-11-03T00:00:00.000","250000000","Programs","Flood Control","NR","1","0","Carried","TBR"
"McKinney","CITY","Collin","1987-11-21T00:00:00.000","1975000","Other","Fire Imprs","4","1","0","Carried","TBR"
"McKinney","CITY","Collin","1987-11-21T00:00:00.000","3300000","Other","Park","1","1","0","Carried","TBR"
"McKinney","CITY","Collin","1987-11-21T00:00:00.000","14300000","Other","Street","3","1","0","Carried","TBR"
"McKinney","CITY","Collin","1987-11-21T00:00:00.000","1000000","Building","Library","2","1","0","Carried","TBR"
"West Harris County MUD 09","WD","Harris","1988-01-16T00:00:00.000","7000000","Refund","Refunding","1","1","0","Carried","TBR"
"Whitehouse","CITY","Smith","1988-01-16T00:00:00.000","2000000","Other","Street","1","1","0","Carried","TBR"
"Northgate Crossing MUD 2","WD","Harris","1988-05-05T00:00:00.000","510000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Willow Fork DD","WD","Fort Bend +","1988-05-07T00:00:00.000","76490","Other","Drainage Improvements and Refunding","1","1","0","Carried","TBR"
"Travis County WCID 17 (B) Steiner Ranch","WD","Travis","1988-05-07T00:00:00.000","118500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"South Shore Harbour MUD 6","WD","Galveston","1988-05-07T00:00:00.000","20500000","Other","Water, Sewer and Drainage","1","2","0","Carried","TBR"
"Baybrook MUD 1","WD","Harris","1988-05-07T00:00:00.000","28850000","Other","Water & Sewer & Refu","1","1","0","Carried","TBR"
"West Park MUD","WD","Harris","1988-10-08T00:00:00.000","25450000","Refund","Refunding","1","1","0","Carried","TBR"
"Trophy Club MUD 1","WD","Denton","1988-10-29T00:00:00.000","2500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Trophy Club MUD 2","WD","Denton","1988-10-29T00:00:00.000","2500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Greenville","CITY","Hunt","1989-05-06T00:00:00.000","9200000","Other","Street","1","1","0","Carried","TBR"
"Nottingham Country MUD","WD","Harris","1989-06-10T00:00:00.000","29250000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Fort Bend County MUD 026","WD","Fort Bend","1989-08-05T00:00:00.000","18000000","Refund","Refunding","1","1","0","Carried","TBR"
"Woodlands Metro Center MUD The","WD","Montgomery","1989-08-12T00:00:00.000","18600000","Refund","Refunding","1","1","0","Carried","TBR"
"Valwood Improvement Authority","WD","Dallas","1989-10-28T00:00:00.000","35000000","Other","Flood Control","1","1","0","Carried","TBR"
"Harris County","COUNTY","Harris","1989-11-07T00:00:00.000","5000000","Building","Fire Imprs","1","1","0","Carried","TBR"
"Cinco MUD 05","WD","Fort Bend","1989-11-07T00:00:00.000","10000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"West Keegans Bayou ID","WD","Fort Bend-Harris","1990-01-20T00:00:00.000","14600000","Refund","Refunding","1","1","0","Carried","TBR"
"Cinco MUD 02","WD","Fort Bend","1990-01-20T00:00:00.000","17900000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"Cinco MUD 06","WD","Fort Bend-Harris","1990-01-20T00:00:00.000","7440000","Refund","Refunding","1.2","1","0","Carried","TBR"
"Cinco MUD 06","WD","Fort Bend-Harris","1990-01-20T00:00:00.000","12400000","Other","Water, Sewer System, & Drainage","1.1","1","0","Carried","TBR"
"Cinco MUD 03","WD","Fort Bend","1990-01-20T00:00:00.000","7260000","Refund","Refunding","1.2","1","0","Carried","TBR"
"Cinco MUD 09","WD","Fort Bend","1990-01-20T00:00:00.000","20800000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"Cinco MUD 09","WD","Fort Bend","1990-01-20T00:00:00.000","12480000","Refund","Refunding","1.2","1","0","Carried","TBR"
"Cinco MUD 03","WD","Fort Bend","1990-01-20T00:00:00.000","12100000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"Cinco MUD 02","WD","Fort Bend","1990-01-20T00:00:00.000","10740000","Refund","Refunding","1.2","1","0","Carried","TBR"
"Northwest Harris County MUD 05","WD","Harris","1990-02-26T00:00:00.000","9625000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Laguna Madre WD","WD","Cameron","1990-03-01T00:00:00.000","7500000","Other","Waterworks Imprs","1","1","0","Carried","TBR"
"Renn Road MUD","WD","Harris","1990-05-05T00:00:00.000","8000000","Refund","Refunding","1","1","0","Carried","TBR"
"Harris County MUD 005","WD","Harris","1990-05-05T00:00:00.000","3350000","Other","Water, Sewer & Drainage","2","1","0","Carried","TBR"
"Barker-Cypress MUD","WD","Harris","1990-05-05T00:00:00.000","15565000","Refund","Refunding","1","1","0","Carried","TBR"
"Horsepen Bayou MUD","WD","Harris","1990-05-05T00:00:00.000","7000000","Refund","Refunding","1","1","0","Carried","TBR"
"Southern Montgomery County MUD","WD","Montgomery","1990-05-05T00:00:00.000","6050000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Harris County MUD 005","WD","Harris","1990-05-05T00:00:00.000","5750000","Refund","Refunding","1","1","0","Carried","TBR"
"Nottingham Country MUD","WD","Harris","1990-05-05T00:00:00.000","5000000","Refund","Refunding","1","1","0","Carried","TBR"
"Cinco MUD 08","WD","Fort Bend","1990-08-11T00:00:00.000","16500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Dalworthington Gardens","CITY","Tarrant","1990-08-30T00:00:00.000","350000","Renovations","Road","1","1","0","Carried","TBR"
"Fort Bend County MUD 047","WD","Fort Bend","1990-09-04T00:00:00.000","10900000","Refund","Refunding","1","1","0","Carried","TBR"
"Sportsman's World MUD","WD","Palo Pinto","1990-11-17T00:00:00.000","10000000","Refund","Refunding","1","1","0","Carried","TBR"
"Charterwood MUD","WD","Harris","1991-04-06T00:00:00.000","8030000","Refund","Refunding","1","1","0","Carried","TBR"
"Windfern Forest UD","WD","Harris","1991-05-04T00:00:00.000","4000000","Refund","Refunding","1","1","0","Carried","TBR"
"Cimarron MUD","WD","Harris","1991-05-04T00:00:00.000","6000000","Other","Water, Sewer, Dr & R","1","1","0","Carried","TBR"
"Garland","CITY","Dallas","1991-05-04T00:00:00.000","7226086","Other","Public Safety","3","1","0","Carried","TBR"
"Garland","CITY","Dallas","1991-05-04T00:00:00.000","42496500","Other","Street","1","1","0","Carried","TBR"
"Garland","CITY","Dallas","1991-05-04T00:00:00.000","5144000","Other","Park","2","1","0","Carried","TBR"
"Harris County MUD 105","WD","Harris","1991-05-04T00:00:00.000","14500000","Refund","Refunding","1","1","0","Carried","TBR"
"Fort Bend County MUD 030","WD","Fort Bend","1991-05-04T00:00:00.000","9000000","Refund","Refunding","1","1","0","Carried","TBR"
"Chimney Hill MUD","WD","Harris","1991-05-11T00:00:00.000","16100000","Refund","Refunding","1","1","0","Carried","TBR"
"West Harris County MUD 15","WD","Harris","1991-05-11T00:00:00.000","9000000","Refund","Refunding","1","1","0","Carried","TBR"
"West Harris County MUD 04","WD","Harris","1991-05-18T00:00:00.000","5500000","Refund","Refunding","1","1","0","Carried","TBR"
"Spring Creek UD","WD","Montgomery","1991-06-15T00:00:00.000","4000000","Refund","Refunding","1","1","0","Carried","TBR"
"East Texas MUD of Smith County","WD","Smith","1991-07-01T00:00:00.000","710000","Programs","Sewer","1","1","0","Carried","TBR"
"West Travis County MUD 03","WD","Travis","1991-07-20T00:00:00.000","33650000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Brownsville","CITY","Cameron","1991-08-10T00:00:00.000","1500000","Other","Airport","4","1","0","Carried","TBR"
"Clay Road MUD","WD","Harris","1991-08-10T00:00:00.000","7000000","Refund","Refunding","NR","1","0","Carried","TBR"
"Brownsville","CITY","Cameron","1991-08-10T00:00:00.000","1745000","Other","Public Safety Imprs","2","1","0","Carried","TBR"
"Brownsville","CITY","Cameron","1991-08-10T00:00:00.000","6415000","Building","Building","3","1","0","Carried","TBR"
"Brownsville","CITY","Cameron","1991-08-10T00:00:00.000","3550000","Other","Park Facilities","1","1","0","Carried","TBR"
"Eagle Mt-Saginaw ISD","ISD","Tarrant","1991-09-09T00:00:00.000","30000000","Building","School  Building","1","1","0","Carried","TBR"
"Brownsville ND","WD","Cameron","1991-10-19T00:00:00.000","21000000","Other","Bridge","1","1","0","Carried","TBR"
"Brownsville ND","WD","Cameron","1991-10-19T00:00:00.000","17000000","Other","Channel Imprs","2","1","0","Carried","TBR"
"Brownsville ND","WD","Cameron","1991-10-19T00:00:00.000","5000000","Other","PORT IMPS","3","1","0","Carried","TBR"
"West Harris County MUD 11","WD","Harris","1991-11-05T00:00:00.000","26500000","Other","Water, Sewer and Refunding","1","1","0","Carried","TBR"
"Clear Brook City MUD","WD","Harris","1991-12-17T00:00:00.000","18000000","Other","Water,Sewer,Drainage","1","1","0","Carried","TBR"
"Harris County MUD 165","WD","Harris","1992-01-04T00:00:00.000","8000000","Refund","Refunding","A","1","0","Carried","TBR"
"Porter MUD","WD","Montgomery","1992-01-11T00:00:00.000","4000000","Refund","Refunding","1","1","0","Carried","TBR"
"Conroe ISD","ISD","Montgomery","1992-02-22T00:00:00.000","107533341","Building","School  Building","1","1","0","Carried","TBR"
"Aldine ISD","ISD","Harris","1992-03-07T00:00:00.000","77000000","Building","School Building","1","1","0","Carried","TBR"
"Willis ISD","ISD","Montgomery","1992-03-14T00:00:00.000","20500000","Other","School Building","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1992-05-02T00:00:00.000","350000","Other","Sidewalks","1","1","0","Carried","TBR"
"Harris County MUD 149","WD","Harris","1992-05-02T00:00:00.000","9235000","Refund","Refunding","1","1","0","Carried","TBR"
"West Harris County MUD 02","WD","Harris","1992-05-02T00:00:00.000","8000000","Refund","Refunding","1","1","0","Carried","TBR"
"Northwest Harris County MUD 10","WD","Harris","1992-05-02T00:00:00.000","11850000","Refund","Refunding","1","1","0","Carried","TBR"
"Woodcreek MUD","WD","Harris","1992-05-02T00:00:00.000","8760000","Refund","Refunding","1","1","0","Carried","TBR"
"Waterwood MUD 1","WD","San Jacinto","1992-05-02T00:00:00.000","20000000","Refund","Refunding","1","1","0","Carried","TBR"
"Westlake MUD 1","WD","Harris","1992-05-02T00:00:00.000","7550000","Refund","Refunding","A","1","0","Carried","TBR"
"Bissonnet MUD","WD","Harris","1992-05-02T00:00:00.000","19750000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"Bissonnet MUD","WD","Harris","1992-05-02T00:00:00.000","8500000","Other","Refunding","1.2","1","0","Carried","TBR"
"Fort Bend County MUD 050","WD","Fort Bend","1992-05-12T00:00:00.000","15180000","Refund","Refunding","1","1","0","Carried","TBR"
"Alvin","CITY","Brazoria","1992-08-08T00:00:00.000","5400000","Other","Improvements","1","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1992-08-10T00:00:00.000","21570000","Other","Environmental","2","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1992-08-10T00:00:00.000","18800000","Other","Health Center","1","1","0","Carried","TBR"
"League City","CITY","Galveston","1992-09-19T00:00:00.000","400000","Other","Public Safety","1","1","0","Carried","TBR"
"Harris County MUD 055","WD","Harris","1992-10-24T00:00:00.000","12000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Arlington","CITY","Tarrant","1993-01-16T00:00:00.000","9335000","Building","Library","1","1","0","Carried","TBR"
"Spencer Road PUD","WD","Harris","1993-03-16T00:00:00.000","12000000","Refund","Refunding","1","1","0","Carried","TBR"
"Southwest Harris County MUD 1","WD","Harris","1993-03-27T00:00:00.000","7000000","Refund","Refunding","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1993-05-02T00:00:00.000","6950000","Other","Street","1","1","0","Carried","TBR"
"Mont Belvieu","CITY","Chambers-Liberty","1993-05-12T00:00:00.000","500000","Programs","Sewer","1","1","0","Carried","TBR"
"Prosper ISD","ISD","Collin","1993-05-26T00:00:00.000","320000","Building","School  Building","1","10","1","Carried","TBR"
"Carthage","CITY","Panola","1993-07-12T00:00:00.000","2320000","Other","General","1","1","0","Carried","TBR"
"East Texas MUD of Smith County","WD","Smith","1993-07-17T00:00:00.000","1500000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1993-08-14T00:00:00.000","28000000","Other","Drainage Imprs","1","1","0","Carried","TBR"
