Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,Shelter Cove Resort Improvement District No 1,Humboldt,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax:This Ordinance increases the special tax levied for the making of capital improvements to the utility systems and operating the utility systems by imposing an additional amount to the special tax. Authorizing an additional $60 annual special tax per taxable parcel, increasing the total annual tax from $80 to $140.",75.36,24.64,Two-thirds,Pass,"Multiple Capital Improvements, Public Works"
06/02/2026 00:00:00,Exeter Public Cemetery District,Tulare,Primary,O,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Authorizing a $35 annual parcel tax to fund cemetery land acquisition, maintenance, and infrastructure improvements.",53.69,46.31,Two-thirds,Fail,"Other Capital Improvements, Public Works"
06/02/2026 00:00:00,Mesa Park Firehouse Community Park Agency,Marin,Primary,L,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Replace the expiring $75 parcel tax with a $150 annual parcel tax for four years beginning 2026, raising about $210,000 annually, with annual increases up to 3%.",74.63,25.37,Two-thirds,Pass,"Parks, Open Space"
06/02/2026 00:00:00,Sequoia Union Elementary School District,Tulare,Primary,P,General Obligation Bond,"$3,400,000",45.31,54.69,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,Salida Fire Protection District,Stanislaus,Primary,J,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Salida Fire Protection District levy a special tax, including $168 per residential unit, raising approximately $1,900,000 annually.",47.54,52.46,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Pasadena Glen Community Services District,Los Angeles,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Enacting a District special parcel tax at $800 per year for each legal-address property within the District, subject to annual Construction Cost Index adjustments not to exceed 5% annually, generating approximately $52,000 annually.",73.42,26.58,Two-thirds,Pass,Street Construction and Improvements
06/02/2026 00:00:00,Richmond Elementary School District,Lassen,Primary,X,General Obligation Bond,"$1,400,000",46.53,53.47,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,El Dorado CFD 2000-1,El Dorado,Primary,G,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Levy special taxes for 30 additional years, beginning July 1, 2030, such special tax rate calculated by property use, generating approximately $645,000 per year, increased by 2% annually.",72.38,27.62,Majority,Pass,Recreation and Sports Facilities
06/02/2026 00:00:00,Union Hill School District,Nevada,Primary,J,General Obligation Bond,"$3,200,000",57.06,42.94,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Nevada City School District,Nevada,Primary,H,General Obligation Bond,"$26,000,000",66.72,33.28,55%,Pass,K-12 School Facility
